"STATION","NAME","DATE","AWND","PRCP","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT03","WT08"
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-01","13.65","0.00","77","83","71","   50","   70","29.1","36.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-02","12.08","0.00","77","82","74","   70","   80","23.0","30.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-03","13.65","0.00","77","83","72","   70","   70","23.9","30.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-04","7.61","0.01","76","85","71","   40","   10","15.0","21.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-05","8.28","0.01","75","83","69","   60","   40","19.9","23.9","    1",,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-06","9.84","0.00","76","84","72","   70","   70","21.0","25.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-07","8.50","0.00","77","85","72","  130","   70","15.0","21.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-08","3.80","0.00","75","82","65","  220","  360","12.1","15.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-09","6.04","0.00","74","82","67","  230","  230","14.1","16.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-10","7.61","0.00","75","84","68","   60","   60","18.1","23.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-11","6.49","0.00","76","85","69","  140","  110","17.0","25.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-12","8.05","0.00","76","83","68","  140","  130","19.9","23.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-13","7.38","0.00","77","83","70","  210","  220","17.0","21.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-14","5.82","0.00","76","84","70","  120","  130","16.1","21.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-15","5.37","0.00","76","86","69","  220","  220","14.1","17.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-16","5.82","0.02","76","83","70","   70","  350","15.0","19.9","    1",,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-17","6.71","0.37","75","81","68","  320","  320","21.9","29.1","    1",,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-18","9.84","0.00","74","74","70","   30","   40","23.0","29.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-19","8.05","0.01","73","83","70","   60","   60","23.0","30.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-20","10.29","0.00","76","83","71","   60","   70","19.9","25.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-21","12.97","0.00","77","84","71","   50","   80","23.9","31.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-22","16.78","0.00","77","84","74","   80","   80","29.1","36.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-23","14.54","0.00","76","83","72","   60","   60","25.9","33.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-24","10.51","0.00","77","84","73","   70","   80","17.0","23.9",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-25","7.61","2.81","77","81","69","  120","  130","23.9","31.1","    1",,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-26","12.97","0.00","73","81","72","   60","   70","23.0","29.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-27","15.88","0.00","77","83","72","   70","   70","25.9","35.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-28","16.11","0.00","76","82","73","   50","   50","28.0","34.0",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-29","13.87","0.00","75","81","71","   80","   80","23.0","29.1",,,
"USW00022521","HONOLULU INTERNATIONAL AIRPORT, HI US","2021-01-30","12.53","0.00","75","82","71","   70","   70","23.0","27.1",,,
